doi,openalex_id,title,venue,year,citations_count,is_oa,oa_status
10.1109/isai-nlp66160.2025.11320527,https://openalex.org/W7123351171,Design and Development of the Ez Claim Mobile Application Through Human-Centered Design Thinking,2025 20th International Joint Symposium on Artificial Intelligence and Natural Language Processing (iSAI-NLP),2025,0,False,closed
10.1109/dise.2017.10,https://openalex.org/W2724332859,How to Apply Human-Centered Design Process (HCDP) to Software Development Process?,2017 IEEE/ACM 1st International Workshop on Design and Innovation in Software Engineering (DISE),2017,7,False,closed
10.1109/icse-companion66252.2025.00047,https://openalex.org/W4411272255,Towards Fully-Traceable Human-Centred Design,2025 IEEE/ACM 47th International Conference on Software Engineering: Companion Proceedings (ICSE-Companion),2025,0,False,closed
10.1109/icdh55609.2022.00011,https://openalex.org/W4293233793,Designing User-friendly Medical AI Applications - Methodical Development of User-centered Design Guidelines,2022 IEEE International Conference on Digital Health (ICDH),2022,5,False,closed
10.1109/icimtech53080.2021.9534984,https://openalex.org/W3199395495,Producing Design Solutions for Vocabulary Game Using User Centered Design (UCD),2021 International Conference on Information Management and Technology (ICIMTech),2021,2,False,closed
10.1109/icoin.2008.4472797,https://openalex.org/W2090297449,Context-based Service Adaptation Platform: Improving the User Experience towards Mobile Location Services,The International conference on information networking,2008,10,False,closed
10.1109/ecti-con54298.2022.9795509,https://openalex.org/W4282980807,Designing Village Idea Lab as Digital-based Incubator of Ideas and Innovation in Efforts to Establish New Entrepreneurs on Village Youth in East Java,2022 19th International Conference on Electrical Engineering/Electronics  Computer  Telecommunications and Information Technology (ECTI-CON),2022,0,False,closed
10.1109/icodse53690.2021.9648440,https://openalex.org/W4200148238,Granular Modeling of User Experience in Load Testing with Automated UI Tests,2021 International Conference on Data and Software Engineering (ICoDSE),2021,3,False,closed
10.1109/ies.2006.357468,https://openalex.org/W1973256686,Petri nets as supporting formalism within Embedded Systems Co-design,2006 International Symposium on Industrial Embedded Systems,2006,7,False,closed
10.1109/issnip.2015.7106931,https://openalex.org/W1552592574,Optimized multi-attribute co-design for maximizing efficiency in Wireless Sensor Networks,2015 IEEE Tenth International Conference on Intelligent Sensors  Sensor Networks and Information Processing (ISSNIP),2015,1,False,closed
10.1109/iscc53001.2021.9631519,https://openalex.org/W4200508386,“Can You Help Me Measure My Blood Sugar?” Co-design of a Voice Interface to Assist Patients and Caregivers at Home,2021 IEEE Symposium on Computers and Communications (ISCC),2021,4,False,closed
10.1109/cit.2014.109,https://openalex.org/W2003355594,User Experience Evaluation of Chinese Travel App Software,2014 IEEE International Conference on Computer and Information Technology,2014,5,False,closed
10.1109/pcthealth.2006.361679,https://openalex.org/W2153771888,User-centered development of a pervasive healthcare application,2006 Pervasive Health Conference and Workshops,2006,14,False,closed
10.1109/ismar-adjunct.2018.00094,https://openalex.org/W2943759810,Co-Design of Gamified Mixed Reality Applications,2018 IEEE International Symposium on Mixed and Augmented Reality Adjunct (ISMAR-Adjunct),2018,7,False,closed
10.1109/pcthealth.2006.361650,https://openalex.org/W3149375473,User-centered development of a pervasive healthcare application,2006 Pervasive Health Conference and Workshops,2006,6,False,closed
10.1109/rew61692.2024.00046,https://openalex.org/W4401721275,Towards a Method for Modelling Socio-Technical Process Transformation in Digital Agriculture,2024 IEEE 32nd International Requirements Engineering Conference Workshops (REW),2024,7,True,green
